params,val_epoch,val_epoch__std,weighting_scheme,alpha,fine_tune_epoch,reconstruct_loss,reconstruction_layer,weight_scale,use_down_scale,use_upscale,multi_profile,multi_profile_aggr_scheme,scale_guide_loss,user_profile_embeddings_files,val_NDCG@10,val_NDCG@10__std,val_Recall@10,val_Recall@10__std,test_NDCG@10,test_NDCG@10__std,test_Recall@10,test_Recall@10__std
"('mean', 0.8, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",19.0,0.0,mean,0.8000000000000002,12.0,MSE,4.0,0.10000000000000002,True,False,False,mean,True,gemma_short_large_umap_single,0.023136666666666666,0.000613297100379036,0.04524,0.0009659710140578759,0.010676666666666666,0.00032036437588054887,0.022429999999999995,0.00027055498516937484
"('mean', 0.8, 12, 'RMSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",17.666666666666668,2.081665999466133,mean,0.8000000000000002,12.0,RMSE,4.0,0.10000000000000002,True,False,False,mean,True,gemma_short_large_umap_single,0.02291666666666667,0.00011372481406154576,0.045140000000000007,0.00022912878474779175,0.01056,0.00038157568056677827,0.021656666666666668,0.00034063665882187933
"('mean', 0.8, 4, 'RMSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",13.333333333333334,1.5275252316519468,mean,0.8000000000000002,4.0,RMSE,4.0,0.10000000000000002,True,False,False,mean,True,gemma_short_large_umap_single,0.022903333333333335,0.00044545856522614153,0.04509333333333334,0.0011142860195359743,0.010913333333333336,0.0004061198509471471,0.022946666666666667,0.0008784266237616752
"('exponential', 0.8, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",18.666666666666668,1.5275252316519465,exponential,0.8000000000000002,12.0,MSE,4.0,0.10000000000000002,True,False,False,mean,True,gemma_short_large_umap_single,0.022573333333333334,0.0007574518686578936,0.04335666666666666,0.00030664855018951853,0.009863333333333333,0.0003550117368951814,0.02005333333333333,0.0007540778032360683
"('exponential', 0.8, 4, 'RMSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",12.333333333333334,0.5773502691896257,exponential,0.8000000000000002,4.0,RMSE,4.0,0.10000000000000002,True,False,False,mean,True,gemma_short_large_umap_single,0.022449999999999998,0.000799812478022192,0.042616666666666664,0.0012464482874685694,0.010143333333333332,3.511884584284276e-05,0.020663333333333336,0.0004604707735929963
"('exponential', 0.8, 12, 'RMSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",18.666666666666668,0.5773502691896258,exponential,0.8000000000000002,12.0,RMSE,4.0,0.10000000000000002,True,False,False,mean,True,gemma_short_large_umap_single,0.02223,0.000478852795752515,0.04202,0.0021245940788771848,0.010209999999999999,0.00034073450074801665,0.020886666666666668,0.0004485903847981277
