config_file,hidden_units,num_blocks,num_heads,dropout_rate,learning_rate,seed,val_NDCG@10,val_Recall@10,val_epoch,test_NDCG@10,test_Recall@10,test_epoch,params,all_seeds
sasrec-256-3-8-0.3-0.0001.yaml,256,3,8,0.3,0.0001,42,0.02355,0.04742,47,0.01037,0.02223,47,"(256, 3, 8, 0.3, 0.0001)",[42]
256-4-2-0.2-0.0005-1.yaml,256,4,2,0.2,0.0005,1,0.0233,0.04638,8,0.01037,0.02235,8,"(256, 4, 2, 0.2, 0.0005)",[1]
128-2-2-0.3-0.0005-1.yaml,128,2,2,0.3,0.0005,1,0.02363,0.04816,13,0.01037,0.0217,13,"(128, 2, 2, 0.3, 0.0005)","[42, 1, 256]"
128-2-2-0.2-0.001-1.yaml,128,2,2,0.2,0.001,1,0.02298,0.04415,11,0.01037,0.02217,11,"(128, 2, 2, 0.2, 0.001)","[42, 1, 256]"
sasrec-128-2-4-0.3-0.0005.yaml,128,2,4,0.3,0.0005,42,0.02337,0.04876,11,0.01036,0.02116,11,"(128, 2, 4, 0.3, 0.0005)","[42, 1, 256]"
sasrec-128-2-8-0.1-0.0005.yaml,128,2,8,0.1,0.0005,42,0.02295,0.04623,11,0.01036,0.0214,11,"(128, 2, 8, 0.1, 0.0005)",[42]
64-4-2-0.3-0.0005-256.yaml,64,4,2,0.3,0.0005,256,0.02349,0.04475,19,0.01036,0.02092,19,"(64, 4, 2, 0.3, 0.0005)","[42, 1, 256]"
sasrec-64-1-8-0.3-0.01.yaml,64,1,8,0.3,0.01,42,0.02114,0.04177,8,0.01035,0.02063,8,"(64, 1, 8, 0.3, 0.01)",[42]
128-2-4-0.2-0.001-256.yaml,128,2,4,0.2,0.001,256,0.02294,0.04727,6,0.01035,0.02205,6,"(128, 2, 4, 0.2, 0.001)","[42, 1, 256]"
256-2-4-0.2-0.0005-256.yaml,256,2,4,0.2,0.0005,256,0.02338,0.04727,9,0.01035,0.02217,9,"(256, 2, 4, 0.2, 0.0005)","[42, 1, 256]"
sasrec-128-3-4-0.2-0.0005.yaml,128,3,4,0.2,0.0005,42,0.0238,0.04742,10,0.01032,0.02128,10,"(128, 3, 4, 0.2, 0.0005)",[42]
64-4-4-0.2-0.0005-1.yaml,64,4,4,0.2,0.0005,1,0.02298,0.04445,19,0.01032,0.0211,19,"(64, 4, 4, 0.2, 0.0005)","[42, 1]"
sasrec-64-4-2-0.2-0.0005.yaml,64,4,2,0.2,0.0005,42,0.02361,0.04564,18,0.01031,0.02063,18,"(64, 4, 2, 0.2, 0.0005)","[42, 1, 256]"
sasrec-256-2-4-0.2-0.001.yaml,256,2,4,0.2,0.001,42,0.02316,0.04668,4,0.01031,0.02164,4,"(256, 2, 4, 0.2, 0.001)","[42, 1, 256]"
sasrec-128-2-8-0.3-0.0001.yaml,128,2,8,0.3,0.0001,42,0.02298,0.04549,75,0.0103,0.02146,75,"(128, 2, 8, 0.3, 0.0001)",[42]
sasrec-64-2-8-0.2-0.005.yaml,64,2,8,0.2,0.005,42,0.02182,0.04043,9,0.0103,0.02033,9,"(64, 2, 8, 0.2, 0.005)",[42]
128-4-2-0.3-0.001-1.yaml,128,4,2,0.3,0.001,1,0.02283,0.04653,8,0.0103,0.0217,8,"(128, 4, 2, 0.3, 0.001)","[42, 1, 256]"
256-4-2-0.3-0.0005-1.yaml,256,4,2,0.3,0.0005,1,0.02409,0.04891,8,0.01029,0.02176,8,"(256, 4, 2, 0.3, 0.0005)","[42, 1, 256]"
sasrec-256-1-2-0.2-0.0005.yaml,256,1,2,0.2,0.0005,42,0.02317,0.04712,10,0.01029,0.02193,10,"(256, 1, 2, 0.2, 0.0005)",[42]
sasrec-64-3-2-0.1-0.001.yaml,64,3,2,0.1,0.001,42,0.02234,0.04445,8,0.01029,0.02092,8,"(64, 3, 2, 0.1, 0.001)",[42]
sasrec-128-2-2-0.3-0.0001.yaml,128,2,2,0.3,0.0001,42,0.02356,0.04742,74,0.01028,0.0217,74,"(128, 2, 2, 0.3, 0.0001)",[42]
