config_file,hidden_units,num_blocks,num_heads,dropout_rate,learning_rate,seed,val_NDCG@10,val_Recall@10,val_epoch,test_NDCG@10,test_Recall@10,test_epoch,params,all_seeds
256-2-2-0.2-0.0005-42.yaml,256,2,2,0.2,0.0005,42,0.09433,0.18035,6,0.05522,0.11268,6,"(256, 2, 2, 0.2, 0.0005)",[42]
128-2-4-0.2-0.00075-42.yaml,128,2,4,0.2,0.00075,42,0.09496,0.17927,3,0.05521,0.10904,3,"(128, 2, 4, 0.2, 0.00075)",[42]
128-2-4-0.3-0.001-42.yaml,128,2,4,0.3,0.001,42,0.09532,0.18128,5,0.05519,0.11077,5,"(128, 2, 4, 0.3, 0.001)",[42]
256-2-2-0.2-0.001-42.yaml,256,2,2,0.2,0.001,42,0.09426,0.17448,6,0.05506,0.1064,6,"(256, 2, 2, 0.2, 0.001)",[42]
256-4-4-0.2-0.0005-42.yaml,256,4,4,0.2,0.0005,42,0.09489,0.17921,6,0.05503,0.11184,6,"(256, 4, 4, 0.2, 0.0005)",[42]
256-2-8-0.2-0.001-42.yaml,256,2,8,0.2,0.001,42,0.09681,0.17883,8,0.05492,0.10617,8,"(256, 2, 8, 0.2, 0.001)",[42]
128-2-2-0.3-0.001-42.yaml,128,2,2,0.3,0.001,42,0.09395,0.17709,4,0.05485,0.10981,4,"(128, 2, 2, 0.3, 0.001)",[42]
128-2-4-0.2-0.001-42.yaml,128,2,4,0.2,0.001,42,0.09485,0.18171,5,0.05456,0.10991,5,"(128, 2, 4, 0.2, 0.001)",[42]
256-2-4-0.2-0.0005-42.yaml,256,2,4,0.2,0.0005,42,0.09388,0.1809,6,0.0544,0.11196,6,"(256, 2, 4, 0.2, 0.0005)",[42]
128-2-8-0.3-0.001-42.yaml,128,2,8,0.3,0.001,42,0.09512,0.18122,5,0.05439,0.10847,5,"(128, 2, 8, 0.3, 0.001)",[42]
256-2-4-0.3-0.0005-42.yaml,256,2,4,0.3,0.0005,42,0.09318,0.18052,6,0.05438,0.11196,6,"(256, 2, 4, 0.3, 0.0005)",[42]
256-2-2-0.3-0.0005-42.yaml,256,2,2,0.3,0.0005,42,0.09327,0.18242,6,0.05399,0.11161,6,"(256, 2, 2, 0.3, 0.0005)",[42]
256-2-2-0.3-0.001-42.yaml,256,2,2,0.3,0.001,42,0.09106,0.16812,86,0.05126,0.09822,86,"(256, 2, 2, 0.3, 0.001)",[42]
256-4-4-0.2-0.00075-42.yaml,256,4,4,0.2,0.00075,42,0.08613,0.158,97,0.04969,0.09387,97,"(256, 4, 4, 0.2, 0.00075)",[42]
256-4-2-0.2-0.00075-42.yaml,256,4,2,0.2,0.00075,42,0.08651,0.16012,92,0.04947,0.09387,92,"(256, 4, 2, 0.2, 0.00075)",[42]
256-4-2-0.3-0.001-42.yaml,256,4,2,0.3,0.001,42,0.08468,0.15485,92,0.04758,0.08741,92,"(256, 4, 2, 0.3, 0.001)",[42]
256-4-8-0.2-0.001-42.yaml,256,4,8,0.2,0.001,42,0.08371,0.15262,62,0.04744,0.08605,62,"(256, 4, 8, 0.2, 0.001)",[42]
256-4-2-0.3-0.00075-42.yaml,256,4,2,0.3,0.00075,42,0.08357,0.15196,91,0.04623,0.08538,91,"(256, 4, 2, 0.3, 0.00075)",[42]
256-4-8-0.3-0.001-42.yaml,256,4,8,0.3,0.001,42,0.08261,0.15142,35,0.04617,0.08741,35,"(256, 4, 8, 0.3, 0.001)",[42]
256-4-4-0.2-0.001-42.yaml,256,4,4,0.2,0.001,42,0.08278,0.15071,13,0.04583,0.08427,13,"(256, 4, 4, 0.2, 0.001)",[42]
256-4-2-0.2-0.001-42.yaml,256,4,2,0.2,0.001,42,0.08238,0.14957,17,0.04548,0.08323,17,"(256, 4, 2, 0.2, 0.001)",[42]
256-4-4-0.3-0.00075-42.yaml,256,4,4,0.3,0.00075,42,0.08236,0.14957,16,0.04547,0.08323,16,"(256, 4, 4, 0.3, 0.00075)",[42]
256-4-8-0.2-0.00075-42.yaml,256,4,8,0.2,0.00075,42,0.08182,0.1493,17,0.04529,0.08379,17,"(256, 4, 8, 0.2, 0.00075)",[42]
256-4-8-0.3-0.00075-42.yaml,256,4,8,0.3,0.00075,42,0.08163,0.15022,17,0.04487,0.08377,17,"(256, 4, 8, 0.3, 0.00075)",[42]
256-4-4-0.3-0.001-42.yaml,256,4,4,0.3,0.001,42,0.07987,0.14924,4,0.04421,0.08268,4,"(256, 4, 4, 0.3, 0.001)",[42]
