config_file,hidden_units,num_blocks,num_heads,dropout_rate,learning_rate,seed,val_NDCG@10,val_Recall@10,val_epoch,test_NDCG@10,test_Recall@10,test_epoch,params,all_seeds
64-2-2-0.2-0.001-42.yaml,64,2,2,0.2,0.001,42,0.11245,0.2073,84,0.03227,0.06632,84,"(64, 2, 2, 0.2, 0.001)",[42]
64-2-2-0.2-0.0005-42.yaml,64,2,2,0.2,0.0005,42,0.11231,0.20779,96,0.02999,0.06259,96,"(64, 2, 2, 0.2, 0.0005)",[42]
64-2-2-0.2-0.00075-42.yaml,64,2,2,0.2,0.00075,42,0.11136,0.20614,96,0.03336,0.06891,96,"(64, 2, 2, 0.2, 0.00075)",[42]
64-2-8-0.3-0.001-42.yaml,64,2,8,0.3,0.001,42,0.1082,0.20177,93,0.03526,0.07214,93,"(64, 2, 8, 0.3, 0.001)",[42]
64-2-4-0.3-0.00075-42.yaml,64,2,4,0.3,0.00075,42,0.10751,0.20155,98,0.0351,0.07289,98,"(64, 2, 4, 0.3, 0.00075)",[42]
64-2-8-0.3-0.0005-42.yaml,64,2,8,0.3,0.0005,42,0.10744,0.20195,99,0.03087,0.06535,99,"(64, 2, 8, 0.3, 0.0005)",[42]
64-2-4-0.3-0.001-42.yaml,64,2,4,0.3,0.001,42,0.10687,0.20084,75,0.03196,0.06735,75,"(64, 2, 4, 0.3, 0.001)",[42]
64-2-8-0.3-0.00075-42.yaml,64,2,8,0.3,0.00075,42,0.1064,0.20137,99,0.03357,0.07082,99,"(64, 2, 8, 0.3, 0.00075)",[42]
64-2-4-0.3-0.0005-42.yaml,64,2,4,0.3,0.0005,42,0.10639,0.20102,96,0.03127,0.06578,96,"(64, 2, 4, 0.3, 0.0005)",[42]
64-2-2-0.3-0.00075-42.yaml,64,2,2,0.3,0.00075,42,0.1058,0.19972,96,0.03174,0.06654,96,"(64, 2, 2, 0.3, 0.00075)",[42]
64-2-2-0.3-0.001-42.yaml,64,2,2,0.3,0.001,42,0.10466,0.19602,96,0.03532,0.07339,96,"(64, 2, 2, 0.3, 0.001)",[42]
64-2-2-0.3-0.0005-42.yaml,64,2,2,0.3,0.0005,42,0.1038,0.19874,88,0.0306,0.06403,88,"(64, 2, 2, 0.3, 0.0005)",[42]
256-4-8-0.2-0.001-42.yaml,256,4,8,0.2,0.001,42,0.03224,0.06441,92,0.01928,0.04053,92,"(256, 4, 8, 0.2, 0.001)",[42]
256-4-4-0.2-0.001-42.yaml,256,4,4,0.2,0.001,42,0.03217,0.06498,68,0.01849,0.03943,68,"(256, 4, 4, 0.2, 0.001)",[42]
256-4-4-0.3-0.00075-42.yaml,256,4,4,0.3,0.00075,42,0.02161,0.04493,37,0.0186,0.03975,37,"(256, 4, 4, 0.3, 0.00075)",[42]
256-4-8-0.3-0.00075-42.yaml,256,4,8,0.3,0.00075,42,0.01452,0.03325,2,0.01793,0.03765,2,"(256, 4, 8, 0.3, 0.00075)",[42]
